integrador,dias,error_relativo_energia
rk4,9050,6.41022e-09
rk4,9100,6.36802e-09
rk4,9150,6.47374e-09
rk4,9200,6.46709e-09
rk4,9250,6.53552e-09
rk4,9300,6.5861e-09
rk4,9350,6.59194e-09
rk4,9400,6.65845e-09
rk4,9450,6.62442e-09
rk4,9500,6.72289e-09
rk4,9550,6.70093e-09
rk4,9600,6.78465e-09
rk4,9650,6.83093e-09
rk4,9700,6.84269e-09
rk4,9750,6.90699e-09
rk4,9800,6.88082e-09
rk4,9850,6.97152e-09
rk4,9900,6.93572e-09
rk4,9950,7.03404e-09
rk4,10000,7.07481e-09
rk4,10050,7.0928e-09
rk4,10100,7.15484e-09
rk4,10150,7.13634e-09
rk4,10200,7.22055e-09
rk4,10250,7.17418e-09
rk4,10300,7.28289e-09
rk4,10350,7.31675e-09
rk4,10400,7.34294e-09
rk4,10450,7.40279e-09
rk4,10500,7.39043e-09
rk4,10550,7.46909e-09
rk4,10600,7.41813e-09
rk4,10650,7.53218e-09
rk4,10700,7.55666e-09
rk4,10750,7.59242e-09
rk4,10800,7.65016e-09
rk4,10850,7.64377e-09
rk4,10900,7.71793e-09
rk4,10950,7.66746e-09
rk4,11000,7.78099e-09
rk4,11050,7.79432e-09
rk4,11100,7.84222e-09
rk4,11150,7.89715e-09
rk4,11200,7.89575e-09
rk4,11250,7.9665e-09
rk4,11300,7.92152e-09
rk4,11350,8.03014e-09
rk4,11400,8.02946e-09
rk4,11450,8.09147e-09
rk4,11500,8.14363e-09
rk4,11550,8.14748e-09
rk4,11600,8.21502e-09
rk4,11650,8.17743e-09
rk4,11700,8.27903e-09
rk4,11750,8.26351e-09
rk4,11800,8.34095e-09
rk4,11850,8.38895e-09
rk4,11900,8.39816e-09
rk4,11950,8.4635e-09
rk4,12000,8.43425e-09
rk4,12050,8.52792e-09
rk4,12100,8.49736e-09
rk4,12150,8.5901e-09
rk4,12200,8.63347e-09
rk4,12250,8.64872e-09
rk4,12300,8.71149e-09
rk4,12350,8.68993e-09
rk4,12400,8.77684e-09
rk4,12450,8.73429e-09
rk4,12500,8.8392e-09
rk4,12550,8.87598e-09
rk4,12600,8.89871e-09
rk4,12650,8.95963e-09
rk4,12700,8.94481e-09
rk4,12750,9.02544e-09
rk4,12800,8.97563e-09
rk4,12850,9.08837e-09
rk4,12900,9.11705e-09
rk4,12950,9.14849e-09
rk4,13000,9.207e-09
rk4,13050,9.19834e-09
rk4,13100,9.27439e-09
rk4,13150,9.22304e-09
rk4,13200,9.33724e-09
rk4,13250,9.35543e-09
rk4,13300,9.39824e-09
rk4,13350,9.45444e-09
rk4,13400,9.45089e-09
rk4,13450,9.52282e-09
rk4,13500,9.47529e-09
rk4,13550,9.58648e-09
rk4,13600,9.59176e-09
rk4,13650,9.64756e-09
rk4,13700,9.7009e-09
rk4,13750,9.70276e-09
rk4,13800,9.77163e-09
rk4,13850,9.73069e-09
rk4,13900,9.83521e-09
rk4,13950,9.826e-09
rk4,14000,9.89715e-09
rk4,14050,9.94691e-09
rk4,14100,9.95368e-09
rk4,14150,1.00199e-08
rk4,14200,9.98737e-09
rk4,14250,1.00843e-08
rk4,14300,1.00597e-08
rk4,14350,1.01461e-08
rk4,14400,1.01917e-08
rk4,14450,1.02045e-08
rk4,14500,1.02682e-08
rk4,14550,1.02434e-08
rk4,14600,1.0333e-08
rk4,14650,1.02951e-08
rk4,14700,1.03955e-08
rk4,14750,1.04351e-08
rk4,14800,1.04544e-08
rk4,14850,1.05162e-08
rk4,14900,1.04989e-08
rk4,14950,1.05819e-08
rk4,15000,1.05342e-08
rk4,15050,1.06444e-08
rk4,15100,1.06769e-08
rk4,15150,1.07046e-08
rk4,15200,1.07639e-08
rk4,15250,1.07527e-08
rk4,15300,1.08306e-08
rk4,15350,1.07794e-08
rk4,15400,1.08936e-08
rk4,15450,1.09163e-08
rk4,15500,1.09541e-08
rk4,15550,1.10115e-08
rk4,15600,1.10059e-08
rk4,15650,1.10793e-08
rk4,15700,1.10296e-08
rk4,15750,1.11426e-08
rk4,15800,1.11537e-08
rk4,15850,1.12038e-08
rk4,15900,1.12582e-08
rk4,15950,1.12578e-08
rk4,16000,1.13281e-08
rk4,16050,1.12842e-08
rk4,16100,1.13916e-08
rk4,16150,1.13884e-08
rk4,16200,1.14532e-08
rk4,16250,1.15047e-08
rk4,16300,1.15093e-08
rk4,16350,1.15764e-08
rk4,16400,1.15404e-08
rk4,16450,1.16407e-08
rk4,16500,1.16224e-08
rk4,16550,1.17024e-08
rk4,16600,1.17497e-08
rk4,16650,1.17601e-08
rk4,16700,1.18249e-08
rk4,16750,1.1797e-08
rk4,16800,1.18893e-08
rk4,16850,1.18565e-08
rk4,16900,1.19518e-08
rk4,16950,1.1994e-08
rk4,17000,1.20103e-08
rk4,17050,1.20728e-08
rk4,17100,1.20526e-08
rk4,17150,1.21384e-08
rk4,17200,1.20941e-08
rk4,17250,1.22007e-08
rk4,17300,1.22363e-08
rk4,17350,1.22605e-08
rk4,17400,1.2321e-08
